================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۱_۱۴۳۱۰۹.wav
Total Speakers: 7 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5, patient_6)
Total Turns   : 1735
================================================================================

[00:16:01.321 --> 00:16:02.536] doctor
[00:16:03.430 --> 00:16:03.835] doctor
[00:16:03.447 --> 00:16:03.802] patient_1
[00:16:04.426 --> 00:16:05.050] patient_1
[00:16:05.152 --> 00:16:05.742] doctor
[00:16:05.843 --> 00:16:07.615] patient_1
[00:16:08.392 --> 00:16:08.763] doctor
[00:16:09.151 --> 00:16:10.636] patient_1
[00:16:11.142 --> 00:16:11.564] doctor
[00:16:11.648 --> 00:16:12.847] patient_1
[00:16:12.965 --> 00:16:13.488] doctor
[00:16:15.665 --> 00:16:16.863] doctor
[00:16:17.048 --> 00:16:17.572] doctor
[00:25:48.800 --> 00:25:53.997] doctor
[00:26:06.181 --> 00:26:09.387] doctor
[00:26:10.754 --> 00:26:13.032] doctor
[00:26:22.735 --> 00:26:24.389] doctor
[00:27:13.529 --> 00:27:15.537] doctor
[00:27:15.723 --> 00:27:27.113] doctor
[00:27:27.333 --> 00:27:32.834] doctor
[00:27:33.290 --> 00:27:37.492] doctor
[00:27:37.964 --> 00:27:52.038] doctor
[00:28:19.072 --> 00:28:19.477] doctor
[00:28:20.118 --> 00:28:20.894] doctor
[00:28:21.164 --> 00:28:28.572] doctor
[00:28:28.657 --> 00:28:42.038] doctor
[00:29:03.723 --> 00:29:12.515] doctor
[00:29:13.088 --> 00:29:16.784] doctor
[00:29:17.307 --> 00:29:19.147] doctor
[00:29:19.450 --> 00:29:21.053] doctor
[00:29:21.610 --> 00:29:28.394] doctor
[00:29:30.318 --> 00:29:43.025] doctor
[00:30:00.503 --> 00:30:01.027] doctor
[00:30:02.039 --> 00:30:02.613] doctor
[00:30:02.866 --> 00:30:03.575] doctor
[00:30:03.727 --> 00:30:04.553] doctor
[00:30:05.819 --> 00:30:07.827] doctor
[00:30:38.371 --> 00:30:38.776] patient_1
[00:30:39.704 --> 00:30:42.100] patient_1
[00:30:41.138 --> 00:30:42.505] doctor
[00:30:42.117 --> 00:30:45.830] patient_1
[00:30:44.446 --> 00:30:47.787] doctor
[00:30:48.260 --> 00:30:55.465] doctor
[00:30:48.445 --> 00:30:48.968] patient_1
[00:30:55.533 --> 00:30:56.596] doctor
[00:30:56.917 --> 00:30:57.322] doctor
[00:30:57.541 --> 00:31:01.304] doctor
[00:31:01.844 --> 00:31:07.835] doctor
[00:31:01.878 --> 00:31:02.570] patient_1
[00:31:08.273 --> 00:31:11.547] doctor
[00:31:11.429 --> 00:31:16.340] patient_1
[00:31:16.745 --> 00:31:22.145] patient_1
[00:31:22.651 --> 00:31:26.617] patient_1
[00:31:26.633 --> 00:31:30.481] patient_1
[00:31:30.481 --> 00:31:34.885] doctor
[00:31:30.987 --> 00:31:31.747] patient_1
[00:31:32.978 --> 00:31:34.852] patient_1
[00:31:36.252 --> 00:31:37.315] doctor
[00:31:37.315 --> 00:31:43.694] patient_1
[00:31:37.366 --> 00:31:38.058] doctor
[00:31:43.137 --> 00:31:44.538] doctor
[00:31:45.803 --> 00:31:49.212] patient_1
[00:31:49.145 --> 00:31:50.225] doctor
[00:31:50.225 --> 00:31:59.658] patient_1
[00:31:56.182 --> 00:31:57.650] doctor
[00:31:58.763 --> 00:32:02.628] doctor
[00:32:01.480 --> 00:32:04.771] patient_1
[00:32:04.113 --> 00:32:04.754] doctor
[00:32:05.260 --> 00:32:10.238] doctor
[00:32:10.846 --> 00:32:15.183] patient_1
[00:32:15.672 --> 00:32:20.633] patient_1
[00:32:20.920 --> 00:32:25.544] patient_1
[00:32:20.988 --> 00:32:21.595] doctor
[00:32:23.924 --> 00:32:24.599] doctor
[00:32:25.713 --> 00:32:29.948] doctor
[00:32:30.185 --> 00:32:33.357] doctor
[00:32:33.357 --> 00:32:36.901] patient_1
[00:32:36.968 --> 00:32:44.984] patient_1
[00:32:45.018 --> 00:32:47.617] doctor
[00:32:47.802 --> 00:32:53.303] patient_1
[00:32:54.265 --> 00:32:57.185] patient_1
[00:32:57.607 --> 00:32:59.986] patient_1
[00:35:18.593 --> 00:35:19.673] patient_1
[00:36:18.500 --> 00:36:19.242] doctor
[00:36:20.727 --> 00:36:21.267] doctor
[00:36:23.697 --> 00:36:24.423] doctor
[00:49:45.944 --> 00:49:48.712] doctor
[00:49:50.213 --> 00:49:54.263] doctor
[00:53:46.325 --> 00:53:47.827] doctor
[00:55:41.881 --> 00:55:44.615] doctor
[00:55:44.699 --> 00:55:46.589] doctor
[00:55:46.741 --> 00:55:48.243] doctor
[00:55:48.985 --> 00:56:12.678] doctor
[00:56:13.859 --> 00:56:15.007] doctor
[00:58:33.432 --> 00:58:36.284] patient_1
[00:58:39.203 --> 00:58:44.148] patient_1
[00:58:45.363 --> 00:58:48.637] patient_1
[00:58:50.138 --> 00:58:53.682] patient_1
[00:59:45.910 --> 00:59:46.771] patient_1
[00:59:47.648 --> 00:59:48.037] patient_1
[01:00:15.050 --> 01:00:15.927] patient_2
[01:00:17.733 --> 01:00:23.133] patient_2
[01:00:23.892 --> 01:00:25.529] patient_2
[01:00:25.833 --> 01:00:28.229] patient_2
[01:00:28.583 --> 01:00:34.034] patient_2
[01:00:39.974 --> 01:00:42.910] patient_2
[01:00:44.243 --> 01:00:47.618] patient_2
[01:00:47.888 --> 01:00:53.035] patient_2
[01:01:28.760 --> 01:01:33.029] patient_2
[01:02:30.978 --> 01:02:32.125] patient_2
[01:02:35.332 --> 01:02:35.973] patient_2
[01:02:36.007 --> 01:02:36.563] doctor
[01:02:37.238 --> 01:02:37.745] doctor
[01:02:38.555 --> 01:02:39.685] doctor
[01:02:38.622 --> 01:02:39.179] patient_1
[01:02:40.445 --> 01:02:42.925] patient_1
[01:02:43.921 --> 01:02:50.215] patient_1
[01:02:49.608 --> 01:02:53.776] doctor
[01:02:53.776 --> 01:02:57.235] patient_1
[01:02:57.235 --> 01:02:59.497] doctor
[01:02:59.497 --> 01:03:00.307] patient_1
[01:02:59.682 --> 01:03:00.644] doctor
[01:03:00.374 --> 01:03:03.125] patient_1
[01:03:03.125 --> 01:03:06.618] doctor
[01:03:06.905 --> 01:03:08.643] doctor
[01:03:07.073 --> 01:03:07.782] patient_1
[01:03:09.250 --> 01:03:10.027] doctor
[01:03:09.301 --> 01:03:13.300] patient_1
[01:03:28.370 --> 01:03:37.432] patient_2
[01:03:37.617 --> 01:03:51.438] patient_2
[01:04:04.533 --> 01:04:05.630] patient_2
[01:04:07.925 --> 01:04:08.988] patient_2
[01:04:40.291 --> 01:04:41.692] patient_2
[01:04:43.565 --> 01:04:47.260] patient_2
[01:04:47.412 --> 01:04:52.711] patient_2
[01:04:53.133 --> 01:04:54.567] patient_2
[01:04:54.753 --> 01:04:56.677] patient_2
[01:04:58.060 --> 01:04:59.967] patient_2
[01:05:00.031 --> 01:05:01.027] doctor
[01:05:01.060 --> 01:05:02.663] doctor
[01:05:02.950 --> 01:05:04.317] doctor
[01:05:04.520 --> 01:05:06.359] doctor
[01:05:44.193 --> 01:05:45.560] doctor
[01:05:45.712 --> 01:05:48.682] doctor
[01:05:48.935 --> 01:05:52.597] doctor
[01:05:53.879 --> 01:05:55.887] doctor
[01:05:56.242 --> 01:05:56.900] doctor
[01:06:18.331 --> 01:06:19.748] doctor
[01:06:20.052 --> 01:06:22.533] doctor
[01:06:22.651 --> 01:06:25.115] doctor
[01:06:51.305 --> 01:06:53.465] doctor
[01:06:53.532 --> 01:06:54.848] doctor
[01:06:56.350 --> 01:06:57.650] doctor
[01:06:58.595 --> 01:07:01.025] doctor
[01:07:03.303 --> 01:07:04.754] doctor
[01:07:06.458 --> 01:07:16.651] doctor
[01:07:16.735 --> 01:07:20.684] doctor
[01:07:21.646 --> 01:07:23.013] doctor
[01:07:44.967 --> 01:07:45.322] doctor
[01:07:47.363 --> 01:07:48.038] doctor
[01:07:48.967 --> 01:07:49.422] doctor
[01:08:29.146 --> 01:08:32.960] doctor
[01:08:35.963 --> 01:08:36.824] doctor
[01:08:42.292 --> 01:08:43.237] doctor
[01:08:44.958 --> 01:08:46.190] doctor
[01:09:37.439 --> 01:09:37.912] doctor
[01:09:37.962 --> 01:09:39.025] doctor
[01:09:47.969 --> 01:09:48.340] doctor
[01:09:48.796 --> 01:09:49.657] doctor
[01:09:50.956 --> 01:09:59.967] doctor
[01:10:00.031 --> 01:10:00.689] doctor
[01:10:00.976 --> 01:10:03.541] doctor
[01:10:04.739 --> 01:10:06.595] doctor
[01:10:10.122 --> 01:10:59.093] doctor
[01:11:00.950 --> 01:11:03.397] doctor
[01:11:06.738 --> 01:11:27.038] doctor
[01:11:11.513 --> 01:11:12.087] patient_1
[01:11:58.257 --> 01:11:59.337] doctor
[01:12:15.065 --> 01:12:35.517] doctor
[01:12:36.479 --> 01:12:48.376] doctor
[01:12:48.983 --> 01:12:49.827] doctor
[01:12:50.519 --> 01:12:56.071] doctor
[01:12:56.965 --> 01:13:02.804] doctor
[01:13:03.175 --> 01:13:09.233] doctor
[01:13:09.318 --> 01:13:15.207] doctor
