================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS
Source File : Session_Full_۲۰۲۶۰۸۰۵_۱۳۰۰۳۷.wav
Language    : fa
Total Segs  : 1926
================================================================================

[00:00:00.000 --> 00:00:29.980]  موسیقی در مطب پزشکی
[00:00:30.000 --> 00:00:59.980]  موسیقی در اینجا
[00:01:00.000 --> 00:01:29.980]  موسیقی در اینجا
[00:01:30.000 --> 00:01:59.980]  موسیقی در اینجا
[00:02:00.000 --> 00:02:29.980]  موسیقی در موسیقی درسته
[00:02:30.000 --> 00:02:59.980]  موسیقی در اینجا
[00:03:00.000 --> 00:03:29.980]  موسیقی در موسیقی درسته
[00:03:30.000 --> 00:03:59.980]  موسیقی در اینجا
[00:04:00.000 --> 00:04:29.980]  موسیقی در اینجا
[00:04:30.000 --> 00:04:59.980]  موسیقی در اینجا
[00:05:00.000 --> 00:05:29.980]  موسیقی در مطب پزشکی
[00:05:30.000 --> 00:05:59.980]  موسیقی در اینجا
[00:06:00.000 --> 00:06:29.980]  موسیقی در اینجا
[00:06:30.000 --> 00:06:59.980]  موسیقی در اینجا
[00:07:00.000 --> 00:07:29.980]  موسیقی در اینجا
[00:07:30.000 --> 00:07:59.980]  موسیقی در اینجا
[00:08:00.000 --> 00:08:29.980]  مردم در اینجا
[00:08:30.000 --> 00:08:59.980]  مردم در اینجا
[00:09:00.000 --> 00:09:29.980]  مردم در اینجا
[00:09:30.000 --> 00:09:59.980]  موسیقی در اینجا
[00:10:00.000 --> 00:10:29.980]  موسیقی در مطب پزشکی
[00:10:30.000 --> 00:10:59.980]  موسیقی در اینجا
[00:11:00.000 --> 00:11:29.980]  موسیقی در اینجا
[00:11:30.000 --> 00:11:59.980]  موسیقی در اینجا
[00:12:00.000 --> 00:12:29.980]  موسیقی در موسیقی درسته
[00:12:30.000 --> 00:12:59.980]  موسیقی در اینجا
[00:13:00.000 --> 00:13:29.980]  مردم در اینجا
[00:13:30.000 --> 00:13:59.980]  موسیقی در اینجا
[00:14:00.000 --> 00:14:29.980]  موسیقی در اینجا
[00:14:30.000 --> 00:14:59.980]  موسیقی در موسیقی درسته
[00:15:00.000 --> 00:15:29.980]  موسیقی در مطب پزشکی
[00:15:30.000 --> 00:15:59.980]  موسیقی در اینجا
[00:16:00.000 --> 00:16:29.980]  موسیقی در اینجا
[00:16:30.000 --> 00:16:59.980]  موسیقی در اینجا
[00:17:00.000 --> 00:17:29.980]  موسیقی در اینجا
[00:17:30.000 --> 00:17:59.980]  موسیقی در موسیقی درسته
[00:18:00.000 --> 00:18:29.980]  موسیقی در موسیقی درسته
[00:18:30.000 --> 00:18:59.980]  موسیقی در اینجا
[00:19:00.000 --> 00:19:29.980]  موسیقی در اینجا
[00:19:30.000 --> 00:19:59.980]  موسیقی در موسیقی درسته
[00:20:00.000 --> 00:20:29.980]  موسیقی در مطب پزشکی
[00:20:30.000 --> 00:20:59.980]  مردم در اینجا
[00:21:00.000 --> 00:21:29.980]  موسیقی در اینجا
[00:21:30.000 --> 00:21:59.980]  موسیقی در اینجا
[00:22:00.000 --> 00:22:29.980]  مردم در اینجا
[00:22:30.000 --> 00:22:32.000]  موسیقی
[00:23:00.000 --> 00:23:10.000]  موسیقی
[00:23:30.000 --> 00:23:50.000]  موسیقی
[00:23:50.000 --> 00:24:00.000]  موسیقی
[00:24:20.000 --> 00:24:49.980]  موسیقی در موسیقی درسته
[00:24:50.000 --> 00:25:00.000]  موسیقی
[00:25:00.000 --> 00:25:20.000]  موسیقی
[00:25:30.000 --> 00:25:59.000]  موسیقی
[00:26:00.000 --> 00:26:10.000]  موسیقی
[00:26:30.000 --> 00:26:59.980]  موسیقی در موسیقی دیگر
[00:27:00.000 --> 00:27:02.000]  موسیقی
[00:27:30.000 --> 00:27:59.000]  موسیقی
[00:28:00.000 --> 00:28:20.000]  موسیقی
[00:28:30.000 --> 00:28:59.980]  موسیقی در موسیقی درسته
[00:29:00.000 --> 00:29:29.980]  موسیقی در موسیقی درسته
[00:29:30.000 --> 00:29:58.000]  موسیقی
