================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۶_۲۰۰۰۰۰.wav
Total Speakers: 7 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5, patient_6)
Total Turns   : 1442
================================================================================

[00:05:57.794 --> 00:06:04.038] patient_2
[00:07:18.136 --> 00:07:32.530] doctor
[00:07:32.817 --> 00:07:36.175] doctor
[00:09:07.368 --> 00:09:20.834] patient_1
[00:11:43.390 --> 00:11:47.660] doctor
[00:11:48.368 --> 00:11:50.900] doctor
[00:11:51.085 --> 00:11:57.920] doctor
[00:11:58.426 --> 00:11:59.033] doctor
[00:12:14.272 --> 00:12:14.693] doctor
[00:12:25.747 --> 00:12:26.185] doctor
[00:12:27.485 --> 00:12:30.117] doctor
[00:12:30.573 --> 00:12:32.716] doctor
[00:12:33.053 --> 00:12:35.028] doctor
[00:12:43.465 --> 00:12:45.659] doctor
[00:12:45.963 --> 00:12:52.578] doctor
[00:19:09.106 --> 00:19:16.480] doctor
[00:19:17.172 --> 00:19:17.965] doctor
[00:19:17.965 --> 00:19:19.096] patient_1
[00:21:54.815 --> 00:21:55.793] patient_1
[00:21:56.992 --> 00:21:59.000] patient_1
[00:21:59.962 --> 00:22:04.619] patient_1
[00:22:05.311 --> 00:22:19.165] patient_1
[00:22:19.368 --> 00:22:20.009] patient_1
[00:22:20.937 --> 00:22:26.135] patient_1
[00:22:29.594 --> 00:22:33.307] patient_1
[00:22:32.783 --> 00:22:35.635] doctor
[00:22:34.201 --> 00:22:40.630] patient_1
[00:22:40.630 --> 00:22:44.005] doctor
[00:22:43.870 --> 00:22:45.338] patient_1
[00:22:45.760 --> 00:22:46.148] patient_1
[00:22:47.566 --> 00:22:50.097] patient_1
[00:22:52.375 --> 00:22:52.949] patient_1
[00:22:52.966 --> 00:22:53.827] patient_1
[00:22:54.974 --> 00:22:56.088] doctor
[00:22:56.442 --> 00:22:57.488] patient_1
[00:22:57.623 --> 00:23:03.361] patient_1
[00:23:03.361 --> 00:23:05.302] doctor
[00:23:05.302 --> 00:23:07.124] patient_1
[00:23:07.293 --> 00:23:11.478] patient_1
[00:23:11.528 --> 00:23:18.835] patient_1
[00:23:19.004 --> 00:23:26.024] patient_1
[00:23:26.075 --> 00:23:28.673] patient_1
[00:23:29.028 --> 00:23:29.602] doctor
[00:23:29.602 --> 00:23:30.867] patient_1
[00:23:30.007 --> 00:23:36.638] doctor
[00:23:37.212 --> 00:23:37.651] doctor
[00:23:37.651 --> 00:23:39.305] patient_1
[00:23:39.592 --> 00:23:46.325] patient_1
[00:23:47.557 --> 00:23:48.198] doctor
[00:23:48.822 --> 00:23:52.045] patient_1
[00:24:02.288 --> 00:24:04.111] patient_1
[00:24:05.005 --> 00:24:08.633] patient_1
[00:24:09.730 --> 00:24:13.679] patient_1
[00:26:50.967 --> 00:26:54.376] patient_2
[00:26:55.085 --> 00:26:59.033] patient_2
[00:27:11.015 --> 00:27:14.120] patient_2
[00:27:17.309 --> 00:27:21.983] patient_2
[00:27:20.060 --> 00:27:20.802] doctor
[00:27:22.017 --> 00:27:28.582] patient_2
[00:27:29.223 --> 00:27:34.775] patient_2
[00:27:34.893 --> 00:27:35.332] patient_2
[00:27:35.467 --> 00:27:41.086] patient_2
[00:27:42.166 --> 00:27:44.039] patient_2
[00:27:49.726 --> 00:27:50.654] patient_2
[00:27:51.211 --> 00:27:52.240] patient_2
[00:28:00.661 --> 00:28:01.741] doctor
[00:28:02.213 --> 00:28:02.703] patient_1
[00:28:02.973 --> 00:28:04.373] patient_1
[00:28:08.980 --> 00:28:10.246] patient_1
[00:28:10.381 --> 00:28:11.427] patient_1
[00:28:12.052 --> 00:28:16.152] patient_1
[00:28:16.253 --> 00:28:17.789] doctor
[00:28:18.110 --> 00:28:23.037] patient_1
[00:28:23.037 --> 00:28:25.315] doctor
[00:28:24.877 --> 00:28:27.037] patient_1
[00:28:27.037 --> 00:28:27.965] doctor
[00:28:27.965 --> 00:28:29.483] patient_1
[00:28:29.838 --> 00:28:43.304] patient_1
[00:28:41.127 --> 00:28:42.848] doctor
[00:28:47.641 --> 00:28:54.965] patient_1
[00:28:54.965 --> 00:29:00.213] doctor
[00:29:00.770 --> 00:29:06.001] patient_1
[00:29:06.001 --> 00:29:07.790] doctor
[00:29:10.912 --> 00:29:13.628] doctor
[00:29:12.498 --> 00:29:14.084] patient_2
[00:29:17.594 --> 00:29:19.973] doctor
[00:29:19.973 --> 00:29:29.812] patient_1
[00:29:27.280 --> 00:29:28.799] doctor
[00:29:30.166 --> 00:29:38.215] doctor
[00:29:32.512 --> 00:29:34.975] patient_1
[00:29:38.671 --> 00:29:41.894] patient_1
[00:29:42.215 --> 00:29:45.151] doctor
[00:29:43.278 --> 00:29:48.188] patient_1
[00:29:48.492 --> 00:29:59.883] patient_1
[00:29:52.458 --> 00:29:52.964] patient_2
[00:29:52.964 --> 00:29:54.314] doctor
[00:29:55.327 --> 00:29:56.221] doctor
[00:30:00.031 --> 00:30:03.220] patient_1
[00:30:01.499 --> 00:30:02.039] doctor
[00:30:02.174 --> 00:30:02.984] doctor
[00:30:04.992 --> 00:30:08.148] patient_1
[00:30:07.000 --> 00:30:12.012] doctor
[00:30:11.219 --> 00:30:17.935] patient_1
[00:30:14.037 --> 00:30:14.543] doctor
[00:30:14.932 --> 00:30:15.303] patient_2
[00:30:15.303 --> 00:30:15.657] doctor
[00:30:15.657 --> 00:30:16.265] patient_2
[00:30:28.955 --> 00:30:31.942] patient_1
[00:30:31.435 --> 00:30:32.397] patient_2
[00:31:19.208 --> 00:31:20.255] patient_2
[00:31:45.955 --> 00:31:57.025] patient_2
[00:31:49.820 --> 00:31:51.490] doctor
[00:31:57.025 --> 00:31:58.156] patient_3
[00:32:27.147 --> 00:32:27.721] patient_3
[00:32:29.223 --> 00:32:30.202] patient_3
[00:33:12.963 --> 00:33:14.431] patient_3
[00:33:16.709 --> 00:33:23.037] patient_3
[00:33:24.927 --> 00:33:28.825] patient_3
[00:35:52.968 --> 00:35:53.812] doctor
[00:35:53.828 --> 00:35:55.499] doctor
[00:38:15.241 --> 00:38:21.080] doctor
[00:38:21.130 --> 00:38:36.419] doctor
[00:38:27.779 --> 00:38:29.416] patient_1
[00:38:33.348 --> 00:38:33.770] patient_1
[00:38:37.533 --> 00:38:38.900] doctor
[00:38:39.406 --> 00:38:45.582] doctor
[00:38:40.958 --> 00:38:43.085] patient_1
[00:38:47.101 --> 00:38:52.653] doctor
[00:38:53.463 --> 00:38:58.289] doctor
[00:38:58.778 --> 00:39:02.035] doctor
[00:39:02.693 --> 00:39:08.870] doctor
[00:39:07.722 --> 00:39:08.195] patient_1
[00:39:11.620 --> 00:39:12.380] doctor
[00:39:15.738 --> 00:39:16.362] doctor
[00:39:17.780 --> 00:39:23.855] doctor
[00:39:20.480 --> 00:39:20.868] patient_1
[00:39:24.192 --> 00:39:27.061] doctor
[00:39:28.141 --> 00:39:41.371] doctor
[00:39:35.684 --> 00:39:36.832] patient_1
[00:39:37.523 --> 00:39:38.333] patient_1
[00:39:42.535 --> 00:39:55.445] doctor
[00:39:52.812 --> 00:39:53.943] patient_1
[00:40:00.031 --> 00:40:00.588] patient_1
[00:40:06.764 --> 00:40:26.727] patient_1
[00:40:18.357 --> 00:40:18.745] doctor
[00:40:25.141 --> 00:40:25.698] doctor
[00:40:26.947 --> 00:40:27.757] patient_1
[00:40:28.887 --> 00:40:31.030] patient_1
[00:40:31.030 --> 00:40:44.429] doctor
[00:40:45.155 --> 00:40:50.960] doctor
[00:40:59.870 --> 00:41:05.877] doctor
[00:41:05.945 --> 00:41:06.923] doctor
[00:41:06.923 --> 00:41:36.404] patient_1
[00:41:36.742 --> 00:41:42.412] patient_1
[00:41:43.289 --> 00:41:51.811] patient_1
[00:41:52.267 --> 00:41:54.173] patient_1
[00:41:54.173 --> 00:41:55.625] doctor
[00:41:55.625 --> 00:41:57.076] patient_1
[00:41:55.692 --> 00:41:56.924] doctor
[00:41:57.751 --> 00:42:06.526] patient_1
[00:42:01.885 --> 00:42:03.050] doctor
[00:42:07.673 --> 00:42:30.404] patient_1
[00:42:31.771 --> 00:42:38.386] patient_1
[00:42:39.517 --> 00:42:46.081] patient_1
[00:42:42.368 --> 00:42:42.723] doctor
[00:42:48.427 --> 00:42:56.628] patient_1
[00:42:57.505 --> 00:42:59.429] patient_1
[00:43:04.897 --> 00:43:13.722] patient_1
[00:43:08.440 --> 00:43:10.415] doctor
[00:43:13.773 --> 00:43:16.203] patient_1
[00:43:16.625 --> 00:43:21.434] patient_1
[00:43:21.434 --> 00:43:22.565] doctor
[00:43:22.565 --> 00:43:25.079] patient_1
[00:43:22.582 --> 00:43:23.577] doctor
[00:43:26.716 --> 00:43:29.281] patient_1
[00:43:29.855 --> 00:43:33.263] patient_1
[00:43:34.208 --> 00:43:53.075] patient_1
[00:43:43.068 --> 00:43:43.658] doctor
[00:43:45.481 --> 00:43:47.337] doctor
[00:43:53.210 --> 00:43:57.293] doctor
[00:43:54.509 --> 00:43:55.572] patient_1
[00:43:56.483 --> 00:44:04.887] patient_1
[00:44:05.731 --> 00:44:06.271] patient_1
[00:44:08.262 --> 00:44:09.173] patient_1
[00:44:09.663 --> 00:44:20.530] patient_1
[00:44:17.797 --> 00:44:18.826] doctor
[00:44:20.682 --> 00:44:22.083] patient_1
[00:44:22.927 --> 00:44:26.504] patient_1
[00:44:33.389 --> 00:44:35.026] patient_1
[00:44:38.975 --> 00:44:39.464] patient_1
[00:44:40.578 --> 00:44:42.940] patient_1
[00:44:45.404 --> 00:44:48.037] patient_1
[00:45:06.933 --> 00:45:12.147] doctor
[00:45:11.455 --> 00:45:11.962] patient_1
[00:45:12.147 --> 00:45:35.570] patient_1
[00:45:35.890 --> 00:45:51.247] patient_1
[00:45:39.856 --> 00:45:40.700] doctor
[00:45:41.780 --> 00:45:44.294] doctor
[00:45:45.627 --> 00:45:46.724] doctor
[00:45:47.922 --> 00:45:48.952] doctor
[00:45:52.495 --> 00:45:58.064] patient_1
[00:45:58.385 --> 00:45:59.532] patient_1
[00:46:00.292 --> 00:46:05.084] patient_1
[00:46:05.152 --> 00:46:13.893] patient_1
[00:46:05.877 --> 00:46:06.552] doctor
[00:46:19.748 --> 00:46:20.575] doctor
[00:46:21.976 --> 00:46:23.174] doctor
[00:46:30.245 --> 00:46:33.603] doctor
[00:46:33.974 --> 00:46:34.565] patient_1
[00:46:35.122 --> 00:46:41.838] patient_1
[00:46:41.838 --> 00:46:45.601] doctor
[00:47:16.229 --> 00:47:17.393] patient_1
[00:47:17.967 --> 00:47:27.637] doctor
[00:47:28.413 --> 00:47:36.158] doctor
[00:47:36.158 --> 00:48:04.475] patient_1
[00:48:05.183 --> 00:48:10.212] patient_1
[00:48:10.448 --> 00:48:13.064] patient_1
[00:48:11.107 --> 00:48:11.967] doctor
[00:48:12.018 --> 00:48:12.625] doctor
[00:48:14.330 --> 00:48:23.307] patient_1
[00:48:23.425 --> 00:48:27.796] doctor
