================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS
Source File : Session_Full_۲۰۲۶۰۸۰۸_۱۳۰۰۰۰.wav
Language    : fa
Total Segs  : 1462
================================================================================

[00:00:00.000 --> 00:00:20.000]  برنامه بیمار، بیمار در مطب پزشکی، داروها، آزمایش و نسخه.
[00:00:20.000 --> 00:00:22.000]  خوش آمدید
[00:00:22.000 --> 00:00:24.000]  خوب اون برگیر رو بیزنج بدیم
[00:00:28.000 --> 00:00:30.000]  سلام
[00:00:30.000 --> 00:00:32.000]  سلام شب
[00:00:32.000 --> 00:00:34.000]  من یک کاری داشتم خودم پیدا کردم
[00:00:34.000 --> 00:00:36.000]  الان دستگاه دونی کار میکنه؟
[00:00:36.000 --> 00:00:38.000]  الان من روشنج کردم
[00:00:40.000 --> 00:00:42.000]  خب نه روشنج خاموش بود روشنج کردم
[00:00:42.000 --> 00:00:44.000]  خب خب خب
[00:00:44.000 --> 00:00:47.000]  خب خان سعیدی چی شده؟
[00:00:47.000 --> 00:00:49.000]  خود یه لحظه
[00:00:49.000 --> 00:00:50.000]  شنگ
[00:00:50.000 --> 00:00:53.000]  هنوز نخواهیم سمیت
[00:00:53.000 --> 00:00:56.000]  خوب شمبه چی؟
[00:00:56.000 --> 00:01:00.000]  شمبه برده بودم پاچه داره بالا اینو برده اصلا داشت
[00:01:00.000 --> 00:01:04.000]  اینو اصلا یکم میکنم برای طبش دو شبه داره
[00:01:04.000 --> 00:01:06.000]  بیاد میده بالا آنی میگم
[00:01:06.000 --> 00:01:08.000]  طب بالا داره دو شب؟
[00:01:08.000 --> 00:01:10.000]  خیلی از طب چی؟
[00:01:10.000 --> 00:01:12.000]  دیگه همش گرگه میتونم
[00:01:12.000 --> 00:01:14.000]  بی برای این طرف
[00:01:14.000 --> 00:01:16.000]  اصحالم هست همون؟
[00:01:16.000 --> 00:01:18.000]  اصحالم میشه از دیروز بیتر شد
[00:01:18.000 --> 00:01:20.000]  دیروز دو دفعه اصحالی بود؟
[00:01:20.000 --> 00:01:22.000]  نه خوب شده
[00:01:22.000 --> 00:01:24.000]  صرفه او افریزیشن ها نداره؟
[00:01:24.000 --> 00:01:26.000]  نه
[00:01:26.000 --> 00:01:28.000]  همون رو درست دارم
[00:01:28.000 --> 00:01:30.000]  همینطور که همین روز کامکشین داریم؟
[00:01:30.000 --> 00:01:31.000]  بله
[00:01:31.000 --> 00:01:32.000]  تا چند؟
[00:01:32.000 --> 00:01:34.000]  ۶
[00:01:34.000 --> 00:01:36.000]  ۶؟
[00:01:36.000 --> 00:01:38.000]  ۶
[00:01:38.000 --> 00:01:40.000]  ۶
[00:01:52.000 --> 00:01:54.000]  تر و بالا داشت داره؟
[00:01:54.000 --> 00:01:56.000]  داره، در صدایی بودن خواهیم نگه نداره
[00:01:56.000 --> 00:01:59.000]  اینجا برای از خطر تشمیل شده
[00:02:01.000 --> 00:02:03.000]  بیا دستشون بگیر
[00:02:04.000 --> 00:02:06.000]  دستشون بگیر
[00:02:21.000 --> 00:02:22.000]  خلید
[00:02:26.000 --> 00:02:32.000]  خب از ساعت بعد
[00:02:32.000 --> 00:02:38.000]  دارید خانم سعیده این افنات کرده من دارو میمیستم اینکه دوتا آنکول هم بینستم بهش بزنم
[00:02:38.000 --> 00:02:40.000]  زنده افنات بشه خب؟
[00:02:40.000 --> 00:02:42.000]  قطعه شیگه دارم این هم نمیستم
[00:02:42.000 --> 00:02:44.000]  قطعه چی؟ از ساعت اونو فهم داری؟
[00:02:44.000 --> 00:02:48.000]  اینو روزی از شیست ساعت به شیست ساعت ده خب؟
[00:02:48.000 --> 00:02:50.000]  قطعه؟
[00:02:56.000 --> 00:03:00.000]  یک شیاف هم میلویسم اگه طبیعی سیاد بود
[00:03:00.000 --> 00:03:01.000]  شیاف استانفون نیست
[00:03:01.000 --> 00:03:02.000]  نه دیکروفناک
[00:03:02.000 --> 00:03:04.000]  میگم سمیدان هم داده بودن اون برا من
[00:03:04.000 --> 00:03:06.000]  نه دیکروفناک نیست
[00:03:06.000 --> 00:03:08.000]  داشتم بدنش جوش زد
[00:03:08.000 --> 00:03:10.000]  نه دیکروفناک نیست شد
[00:03:10.000 --> 00:03:12.000]  اگه از تا منیپولش رو سرکم نکرد
[00:03:12.000 --> 00:03:14.000]  چیز دازد دیکروفناک
[00:03:14.000 --> 00:03:15.000]  دیگه من
[00:03:15.000 --> 00:03:16.000]  دیگه من اینها رو میدونی بیا
[00:03:16.000 --> 00:03:20.000]  خب چیزش افنات شریف که نیست که نه بستریه
[00:03:20.000 --> 00:03:22.000]  افناتش نسبتاً زیاده
[00:03:22.000 --> 00:03:24.000]  برسری میدونیم
[00:03:24.000 --> 00:03:26.000]  بزارو میدونیم خوب میشه
[00:03:26.000 --> 00:03:28.000]  شروطتون نیستی؟
[00:03:28.000 --> 00:03:30.000]  مردم مردم
[00:03:48.000 --> 00:03:50.000]  بفهمیم سلام
[00:03:50.000 --> 00:04:20.000]  بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسیاری بسی
[00:04:20.000 --> 00:04:22.000]  این کار شده ولی خوب نزده شدید
[00:04:22.000 --> 00:04:24.000]  مشخصه
[00:04:24.000 --> 00:04:28.000]  نه اون فایده اون قطعه چهار ست تومن ترنجلر میشیده خشده
[00:04:28.000 --> 00:04:30.000]  خب
[00:04:30.000 --> 00:04:32.000]  چند شب دستگاه مردی؟
[00:04:32.000 --> 00:04:34.000]  پنج شبیه موز بیادم
[00:04:34.000 --> 00:04:36.000]  امروز طویل آوردم دارم
[00:04:36.000 --> 00:04:38.000]  زیاد باعث دادید چار پنج شب این دیگر داشتید
[00:04:38.000 --> 00:04:40.000]  دیگر نشدید
[00:04:40.000 --> 00:04:42.000]  ببین کم شده ولی خیلی عالی نشده
[00:04:42.000 --> 00:04:44.000]  مثلا این نشون میده که
[00:04:44.000 --> 00:04:46.000]  ساعتهای خیلی کم بگذاشتید
[00:04:46.000 --> 00:04:48.000]  اوه
[00:04:48.000 --> 00:04:50.000]  اوه
[00:04:50.000 --> 00:04:52.000]  اوه
[00:04:52.000 --> 00:04:54.000]  اوه
[00:04:54.000 --> 00:04:56.000]  اوه
[00:04:56.000 --> 00:04:58.000]  اوه
[00:04:58.000 --> 00:05:00.000]  اوه
[00:05:00.000 --> 00:05:20.000]  مدت ترانی هم زیر دستگاه بوده، زردیش بهتر شده ولی خوب نشد اونقدر از این ماه نشده.
[00:05:20.000 --> 00:05:23.000]  نظر ماهی نشده برو خونید چیه؟
[00:05:23.000 --> 00:05:25.000]  خداموشه آهو مصبتیم
[00:05:25.000 --> 00:05:26.000]  هر دو آهو مصبتیم؟
[00:05:26.000 --> 00:05:28.000]  آهو مصبتیم نگران نباشید
[00:05:28.000 --> 00:05:30.000]  آزمایشی کمتار انجام بده جاواشه بیار من بیرم
[00:05:30.000 --> 00:05:35.000]  یه وقتی افغانتی مشکل آنزیمی که به اینها نداشته باشه
[00:05:35.000 --> 00:05:36.000]  خوب؟
[00:05:36.000 --> 00:05:38.000]  همینجا دارم
[00:05:38.000 --> 00:05:39.000]  برفرد
[00:05:39.000 --> 00:05:41.000]  درم بیزن هسته برنزین؟
[00:05:50.000 --> 00:06:11.000]  موسیقی
[00:06:11.000 --> 00:06:13.000]  این چیه؟ تمیز اجتماعیه؟
[00:06:13.000 --> 00:06:15.000]  نه، سلامت بگیرم
[00:06:15.000 --> 00:06:29.860]  خامسمی سویس اومد
[00:06:29.860 --> 00:06:32.380]  هشتاده هشت
[00:06:32.380 --> 00:06:34.420]  شسته شیش پنجه ها
[00:06:45.000 --> 00:06:55.000]  موسیقی
[00:07:15.000 --> 00:07:25.000]  موسیقی
[00:07:45.000 --> 00:08:14.980]  موسیقی در موسیقی
[00:08:15.000 --> 00:08:44.000]  موسیقی
[00:08:45.000 --> 00:08:53.000]  موسیقی
[00:09:15.000 --> 00:09:45.000]  مردم از اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با این
[00:09:45.000 --> 00:09:48.000]  خیلی از تفکر مشکل دیگه نداره
[00:09:48.000 --> 00:09:50.000]  صرفه و آبدیزش
[00:09:50.000 --> 00:09:51.000]  نه مگرس چی نداره
[00:09:51.000 --> 00:09:52.000]  از نه نداره
[00:09:58.000 --> 00:10:00.000]  خب شما این وردهای چیل؟
[00:10:00.000 --> 00:10:29.980]  بیمار بیمار در مطب پزشکی، داروها، آزمایش و نسخه.
[00:10:30.000 --> 00:10:32.000]  اینجا بگیرم
[00:10:40.000 --> 00:10:42.000]  چند ماه شد؟
[00:10:45.000 --> 00:10:47.000]  در اینجا یه سال دیگه
[00:10:47.000 --> 00:10:49.000]  یه سال، از که طب کرده؟
[00:10:49.000 --> 00:10:51.000]  از دیشب
[00:10:51.000 --> 00:10:52.000]  این اعتمال داره؟
[00:10:52.000 --> 00:10:54.000]  دیشب، شب طب داشت آقای دوست
[00:10:54.000 --> 00:10:58.000]  بله، ببینیم خوشتاری اعتمال داره این طبش سه نزن تون رو کیشه
[00:10:58.000 --> 00:11:00.000]  ای بالا بره ای بیر پایی
[00:11:00.000 --> 00:11:03.000]  خوب این طب رو باید کنترلو کنی که تشنراش نکنه
[00:11:03.000 --> 00:11:06.000]  خوب یه بیماری هست که به این شکل هست
[00:11:06.000 --> 00:11:08.000]  من دارو براش می رویسم
[00:11:08.000 --> 00:11:11.000]  از سامنه فون هر چهار ساعت به چهار ساعت دو بره بره وزن شده
[00:11:11.000 --> 00:11:13.000]  وزنی چند کیلوه؟
[00:11:14.000 --> 00:11:16.000]  هشت کیلوه، بشت کیلوه
[00:11:16.000 --> 00:11:17.000]  شنزده قطعه
[00:11:18.000 --> 00:11:19.000]  خوب؟
[00:11:21.000 --> 00:11:24.000]  بعد آقایی دو دو اشتباه قبلش بی قراری داشت
[00:11:24.000 --> 00:11:25.000]  خیلی بیده
[00:11:25.000 --> 00:11:26.000]  اونو آرام بوده؟
[00:11:28.000 --> 00:11:30.000]  مردی از اینجا باید بردارید
[00:11:30.000 --> 00:11:32.000]  اینجا باید بردارید
[00:11:32.000 --> 00:11:34.000]  اینجا باید بردارید
[00:11:34.000 --> 00:11:36.000]  اینجا باید بردارید
[00:11:36.000 --> 00:11:38.000]  اینجا باید بردارید
[00:11:38.000 --> 00:11:40.000]  اینجا باید بردارید
[00:11:40.000 --> 00:11:42.000]  اینجا باید بردارید
[00:11:42.000 --> 00:11:44.000]  اینجا باید بردارید
[00:11:44.000 --> 00:11:46.000]  اینجا باید بردارید
[00:11:46.000 --> 00:11:48.000]  اینجا باید بردارید
[00:11:48.000 --> 00:11:50.000]  اینجا باید بردارید
[00:11:50.000 --> 00:11:52.000]  اینجا باید بردارید
[00:11:52.000 --> 00:11:54.000]  اینجا باید بردارید
[00:11:54.000 --> 00:11:56.000]  خیلی شکر میکنم
[00:12:18.000 --> 00:12:19.000]  بفرماییم
[00:12:19.000 --> 00:12:21.000]  سلام خوش شما خوبه؟
[00:12:21.000 --> 00:12:22.000]  خوبه
