================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۹_۱۳۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 1661
================================================================================

[00:00:00.385 --> 00:00:08.992] doctor
[00:00:00.942 --> 00:00:04.250] patient_1
[00:00:09.008 --> 00:00:12.029] doctor
[00:00:53.525 --> 00:00:56.258] doctor
[00:00:56.309 --> 00:01:09.033] doctor
[00:01:11.125 --> 00:01:12.779] doctor
[00:01:12.965 --> 00:01:31.696] doctor
[00:01:32.489 --> 00:01:49.870] doctor
[00:01:32.928 --> 00:01:34.362] patient_1
[00:02:06.256 --> 00:02:12.719] doctor
[00:02:14.575 --> 00:02:17.039] doctor
[00:02:40.124 --> 00:02:51.177] doctor
[00:02:45.237 --> 00:02:47.026] patient_1
[00:04:58.077 --> 00:04:59.360] doctor
[00:05:09.160 --> 00:05:11.725] doctor
[00:05:12.097 --> 00:05:13.244] doctor
[00:05:16.315 --> 00:05:17.193] doctor
[00:05:19.825 --> 00:05:22.272] doctor
[00:05:29.647 --> 00:05:30.777] doctor
[00:05:35.401 --> 00:05:38.388] doctor
[00:05:38.573 --> 00:05:40.244] doctor
[00:05:47.433 --> 00:05:48.293] doctor
[00:06:55.810 --> 00:06:56.215] doctor
[00:07:00.957 --> 00:07:07.353] doctor
[00:07:08.247 --> 00:07:09.395] doctor
[00:07:14.373 --> 00:07:14.879] doctor
[00:07:16.381 --> 00:07:16.955] doctor
[00:07:18.625 --> 00:07:19.030] doctor
[00:07:22.456 --> 00:07:23.047] doctor
[00:07:31.163 --> 00:07:31.771] doctor
[00:07:31.923 --> 00:07:32.530] doctor
[00:07:32.581 --> 00:07:33.745] doctor
[00:07:35.669 --> 00:07:36.260] doctor
[00:07:46.283 --> 00:07:47.718] doctor
[00:07:48.882 --> 00:07:49.372] doctor
[00:07:50.418 --> 00:07:51.953] doctor
[00:07:54.485 --> 00:07:55.025] doctor
[00:08:20.033 --> 00:08:21.637] doctor
[00:08:21.788 --> 00:08:23.442] doctor
