================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۹_۲۰۰۰۳۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 1532
================================================================================

[00:00:01.027 --> 00:00:02.005] doctor
[00:00:02.798 --> 00:00:04.587] doctor
[00:00:05.903 --> 00:00:13.919] doctor
[00:00:16.231 --> 00:00:21.395] doctor
[00:00:23.048 --> 00:00:25.141] doctor
[00:00:23.690 --> 00:00:24.044] patient_1
[00:00:30.085 --> 00:00:30.963] doctor
[00:00:33.882 --> 00:00:34.979] doctor
[00:00:38.354 --> 00:00:38.928] doctor
[00:00:41.071 --> 00:00:41.813] doctor
[00:00:42.809 --> 00:00:43.720] doctor
[00:00:45.678 --> 00:00:46.741] doctor
[00:00:48.968 --> 00:00:49.677] doctor
[00:01:19.394 --> 00:01:20.272] doctor
[00:01:26.212 --> 00:01:27.882] doctor
[00:01:32.827 --> 00:01:34.177] doctor
[00:01:34.531 --> 00:01:36.033] doctor
[00:01:36.100 --> 00:01:36.522] doctor
[00:01:36.539 --> 00:01:36.995] doctor
[00:01:39.678 --> 00:01:42.462] doctor
[00:01:45.719 --> 00:01:50.123] doctor
[00:01:50.410 --> 00:01:59.101] doctor
[00:03:13.807 --> 00:03:14.954] doctor
[00:03:15.764 --> 00:03:17.030] doctor
[00:03:17.823 --> 00:03:20.489] doctor
[00:04:15.653 --> 00:04:16.582] doctor
[00:04:28.546 --> 00:04:29.035] doctor
[00:04:30.132 --> 00:04:31.027] doctor
[00:04:39.346 --> 00:04:41.084] doctor
[00:04:44.088 --> 00:04:45.640] doctor
[00:04:45.995 --> 00:04:47.159] doctor
[00:04:50.095 --> 00:04:52.913] doctor
[00:05:48.968 --> 00:05:51.162] patient_2
[00:05:51.922 --> 00:05:53.558] patient_2
[00:05:54.318 --> 00:05:54.689] patient_2
[00:05:55.043 --> 00:05:58.925] patient_2
[00:06:00.697 --> 00:06:01.473] patient_2
[00:06:48.048 --> 00:06:48.638] patient_3
[00:07:17.967 --> 00:07:19.520] patient_1
[00:09:12.160 --> 00:09:12.532] patient_3
[00:09:16.970 --> 00:09:19.315] patient_3
[00:09:39.987 --> 00:09:40.645] doctor
[00:09:42.417 --> 00:09:42.873] doctor
[00:09:48.458 --> 00:09:50.348] patient_3
[00:10:19.994 --> 00:10:20.652] patient_3
[00:10:21.597 --> 00:10:24.550] patient_3
[00:10:25.242 --> 00:10:26.035] patient_3
[00:11:57.717 --> 00:11:59.033] patient_3
[00:13:12.288 --> 00:13:13.165] doctor
[00:13:26.564 --> 00:13:28.268] patient_2
[00:13:42.663 --> 00:13:45.599] patient_1
[00:13:45.785 --> 00:13:46.628] patient_1
[00:15:14.138 --> 00:15:14.695] patient_1
[00:17:23.688 --> 00:17:24.413] patient_1
[00:17:25.679 --> 00:17:27.130] patient_1
[00:18:11.326 --> 00:18:11.714] patient_5
[00:18:24.100 --> 00:18:24.691] patient_2
[00:18:25.805 --> 00:18:29.028] patient_2
[00:18:29.028 --> 00:18:33.162] patient_3
[00:18:33.517 --> 00:18:37.027] patient_3
[00:18:50.273 --> 00:18:50.813] patient_5
[00:18:56.821 --> 00:18:58.745] patient_4
[00:19:01.360 --> 00:19:01.748] patient_4
[00:19:01.748 --> 00:19:03.520] patient_5
[00:19:03.706 --> 00:19:05.613] patient_5
[00:19:27.263 --> 00:19:29.221] doctor
[00:20:01.415 --> 00:20:07.034] patient_1
[00:20:39.856 --> 00:20:40.666] patient_1
[00:21:10.079 --> 00:21:12.037] patient_1
[00:21:50.545 --> 00:21:52.233] patient_1
[00:22:38.605 --> 00:22:39.027] patient_1
[00:23:04.019 --> 00:23:06.533] patient_2
[00:23:07.462 --> 00:23:08.508] patient_2
[00:23:10.415 --> 00:23:11.225] patient_1
[00:23:27.205 --> 00:23:27.695] patient_1
[00:23:29.348 --> 00:23:29.720] patient_1
[00:23:34.090 --> 00:23:34.917] doctor
[00:23:38.765 --> 00:23:39.338] patient_1
[00:23:39.811 --> 00:23:40.621] patient_1
[00:23:42.528 --> 00:23:43.085] patient_1
[00:24:00.382 --> 00:24:01.968] patient_1
[00:24:27.162 --> 00:24:27.719] patient_1
[00:25:26.693 --> 00:25:29.950] doctor
[00:25:32.549 --> 00:25:33.494] doctor
[00:25:34.523 --> 00:25:35.688] doctor
[00:25:36.008 --> 00:25:36.903] doctor
[00:25:38.270 --> 00:25:39.080] doctor
[00:25:40.531 --> 00:25:41.003] doctor
[00:25:42.218 --> 00:25:42.826] doctor
[00:25:43.214 --> 00:25:43.973] doctor
[00:25:43.973 --> 00:25:44.429] patient_1
[00:25:45.323 --> 00:25:45.712] patient_1
[00:26:09.286 --> 00:26:10.332] patient_1
[00:26:40.977 --> 00:26:45.179] patient_3
[00:26:51.963 --> 00:26:53.026] patient_3
[00:26:53.448 --> 00:26:55.355] patient_3
[00:27:09.344 --> 00:27:10.441] patient_3
[00:27:37.964 --> 00:27:40.833] patient_2
[00:27:40.833 --> 00:27:41.508] patient_1
[00:27:41.710 --> 00:27:48.005] patient_1
[00:28:23.965 --> 00:28:26.699] patient_3
[00:28:26.969 --> 00:28:29.635] patient_3
[00:30:00.031 --> 00:30:00.436] doctor
[00:30:02.697 --> 00:30:03.845] doctor
[00:30:26.727 --> 00:30:28.364] doctor
[00:30:32.583 --> 00:30:32.971] doctor
[00:31:07.210 --> 00:31:07.582] doctor
[00:32:20.971 --> 00:32:22.034] doctor
[00:32:23.080 --> 00:32:24.025] doctor
