================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۰_۱۳۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 1241
================================================================================

[00:00:19.370 --> 00:00:19.825] doctor
[00:00:24.550 --> 00:00:28.246] doctor
[00:00:37.966 --> 00:00:56.157] doctor
[00:00:56.377 --> 00:00:58.469] doctor
[00:01:00.342 --> 00:01:08.442] doctor
[00:01:11.497 --> 00:01:12.053] doctor
[00:01:22.972 --> 00:01:30.093] doctor
[00:01:30.970 --> 00:01:33.130] doctor
[00:01:34.075 --> 00:01:40.100] doctor
[00:01:41.703 --> 00:01:42.209] doctor
[00:01:42.547 --> 00:01:45.145] doctor
[00:01:48.554 --> 00:01:55.608] doctor
[00:01:56.401 --> 00:01:58.392] doctor
[00:02:01.750 --> 00:02:06.037] doctor
[00:02:06.779 --> 00:02:15.031] doctor
[00:02:20.245 --> 00:02:21.140] doctor
[00:02:21.950 --> 00:02:24.127] doctor
[00:02:25.122 --> 00:02:26.033] doctor
[00:02:26.168 --> 00:02:29.527] doctor
[00:02:35.855 --> 00:02:38.217] doctor
[00:02:50.722 --> 00:02:53.270] doctor
[00:02:54.316 --> 00:02:58.433] doctor
[00:03:36.301 --> 00:03:37.027] doctor
[00:03:40.655 --> 00:03:42.899] doctor
[00:03:43.557 --> 00:03:50.071] doctor
[00:03:51.100 --> 00:04:10.996] doctor
[00:04:11.603 --> 00:04:14.017] doctor
[00:04:24.395 --> 00:04:25.424] doctor
[00:04:26.977 --> 00:04:32.039] doctor
[00:04:33.136 --> 00:04:53.302] doctor
[00:04:55.208 --> 00:04:55.968] doctor
[00:05:02.410 --> 00:05:07.034] patient_1
[00:05:07.051 --> 00:05:09.025] patient_1
[00:05:20.095 --> 00:05:26.288] patient_1
[00:05:27.284 --> 00:05:32.296] patient_1
[00:05:32.870 --> 00:05:33.747] patient_1
[00:05:41.476 --> 00:05:44.547] patient_1
[00:05:45.610 --> 00:05:48.023] patient_1
[00:05:48.142 --> 00:05:49.036] patient_1
[00:05:49.407 --> 00:05:50.521] patient_1
[00:05:58.823 --> 00:06:01.338] patient_1
[00:06:01.523 --> 00:06:07.025] patient_1
[00:06:19.428 --> 00:06:20.677] patient_1
[00:06:21.605 --> 00:06:24.558] patient_1
[00:06:24.743 --> 00:06:32.776] patient_1
[00:06:33.282 --> 00:06:42.547] patient_1
[00:06:43.357 --> 00:06:55.034] patient_1
[00:06:55.270 --> 00:06:56.030] patient_1
[00:06:56.384 --> 00:06:57.025] patient_1
[00:06:57.970 --> 00:07:00.113] doctor
[00:07:02.965 --> 00:07:04.585] doctor
[00:07:04.838 --> 00:07:12.533] doctor
[00:07:15.183 --> 00:07:17.815] patient_1
[00:07:36.968 --> 00:07:38.032] patient_1
[00:07:40.006 --> 00:07:44.444] patient_1
[00:07:47.667 --> 00:07:56.678] patient_1
[00:07:52.240 --> 00:07:52.612] doctor
[00:07:53.337 --> 00:07:56.307] doctor
[00:07:57.691 --> 00:08:00.222] patient_1
[00:08:02.973 --> 00:08:17.907] patient_1
[00:08:13.452 --> 00:08:13.975] doctor
[00:08:18.447 --> 00:08:26.412] patient_1
[00:08:30.968 --> 00:08:33.280] patient_1
[00:08:33.297 --> 00:08:48.974] patient_1
[00:08:49.987 --> 00:08:52.332] patient_1
[00:08:53.328 --> 00:08:56.872] patient_1
[00:08:57.952 --> 00:09:00.753] patient_1
[00:09:01.563 --> 00:09:08.532] patient_1
[00:09:09.764 --> 00:09:25.728] patient_1
[00:09:26.977 --> 00:09:29.997] patient_1
[00:09:31.567 --> 00:09:33.490] patient_1
[00:09:37.118 --> 00:09:38.030] patient_1
[00:09:45.522 --> 00:09:50.720] patient_1
[00:09:51.260 --> 00:09:55.613] patient_1
[00:09:51.698 --> 00:09:53.032] doctor
[00:10:00.031 --> 00:10:07.169] doctor
[00:10:10.713 --> 00:10:11.658] doctor
[00:10:13.987 --> 00:10:15.050] doctor
[00:10:23.352 --> 00:10:25.276] doctor
[00:10:26.761 --> 00:10:29.326] doctor
[00:10:29.680 --> 00:10:32.212] doctor
[00:10:32.448 --> 00:10:39.957] doctor
[00:10:40.717 --> 00:10:45.239] doctor
[00:10:46.201 --> 00:10:47.348] doctor
[00:10:47.483 --> 00:10:49.036] doctor
[00:10:59.009 --> 00:11:00.308] doctor
[00:11:15.884 --> 00:11:16.846] doctor
[00:11:16.880 --> 00:11:18.213] doctor
[00:11:37.687 --> 00:11:54.477] doctor
[00:11:59.219 --> 00:12:02.560] doctor
[00:12:02.780 --> 00:12:16.651] doctor
[00:12:17.208 --> 00:12:21.207] doctor
[00:12:22.979 --> 00:12:26.962] doctor
[00:12:27.502 --> 00:12:29.510] doctor
[00:12:29.611 --> 00:12:37.323] doctor
[00:12:38.470 --> 00:12:43.448] doctor
[00:12:44.039 --> 00:12:54.181] doctor
[00:12:54.670 --> 00:12:56.560] doctor
[00:13:20.843 --> 00:13:26.783] doctor
[00:13:28.589 --> 00:13:29.078] doctor
[00:13:40.452 --> 00:13:42.916] doctor
[00:13:45.970 --> 00:13:48.400] doctor
[00:13:52.450 --> 00:13:54.155] doctor
[00:13:56.315 --> 00:14:00.145] doctor
[00:14:01.225 --> 00:14:02.693] doctor
[00:14:06.305 --> 00:14:07.030] doctor
[00:14:36.967 --> 00:14:37.591] doctor
[00:14:38.182 --> 00:14:40.561] doctor
[00:14:41.978 --> 00:14:43.025] doctor
[00:15:32.971 --> 00:15:33.595] patient_1
[00:15:33.781 --> 00:15:34.253] patient_1
[00:15:34.372 --> 00:15:36.818] patient_1
[00:15:40.345 --> 00:15:43.771] patient_1
[00:15:45.037 --> 00:15:45.560] patient_2
[00:15:45.560 --> 00:15:46.977] patient_1
[00:15:46.977 --> 00:15:54.402] patient_2
[00:16:23.596 --> 00:16:24.271] doctor
[00:16:34.818 --> 00:16:35.965] doctor
[00:16:35.965 --> 00:16:36.488] patient_2
[00:16:36.488 --> 00:16:38.058] doctor
[00:16:36.573 --> 00:16:40.235] patient_2
[00:16:40.910 --> 00:16:49.027] patient_2
[00:16:52.250 --> 00:17:06.188] patient_2
[00:17:07.977 --> 00:17:11.437] patient_2
[00:17:13.208 --> 00:17:14.963] patient_2
[00:18:37.145 --> 00:18:39.389] patient_2
[00:18:38.292 --> 00:18:38.815] patient_1
[00:18:39.608 --> 00:18:41.026] patient_2
[00:18:43.085 --> 00:18:45.397] patient_2
[00:18:57.108 --> 00:18:58.964] patient_1
[00:19:00.837 --> 00:19:02.170] patient_1
[00:19:03.773 --> 00:19:05.495] patient_1
[00:19:05.528 --> 00:19:06.288] patient_1
[00:19:18.927 --> 00:19:19.687] patient_2
[00:19:20.345 --> 00:19:24.513] patient_2
[00:19:23.197 --> 00:19:24.462] doctor
[00:19:25.542 --> 00:19:25.998] doctor
[00:19:26.302 --> 00:19:26.690] doctor
[00:19:26.723 --> 00:19:33.102] doctor
[00:19:26.842 --> 00:19:27.955] patient_2
[00:19:33.575 --> 00:19:36.781] doctor
[00:19:38.502 --> 00:19:41.033] doctor
[00:19:41.523 --> 00:19:41.945] doctor
[00:19:42.569 --> 00:19:43.514] patient_2
[00:19:43.683 --> 00:19:45.033] patient_2
[00:19:45.556 --> 00:19:46.282] patient_2
[00:20:00.031 --> 00:20:01.027] patient_4
[00:20:01.027 --> 00:20:14.746] doctor
[00:20:05.043 --> 00:20:07.372] patient_3
[00:20:15.252 --> 00:20:17.716] doctor
[00:20:18.188 --> 00:20:21.209] patient_4
[00:20:25.360 --> 00:20:28.027] patient_4
[00:20:28.516 --> 00:20:29.140] patient_4
[00:20:33.342 --> 00:20:34.372] patient_3
[00:20:35.924 --> 00:20:38.860] patient_3
[00:20:42.252 --> 00:20:46.623] patient_4
[00:20:47.416 --> 00:20:51.297] patient_3
[00:20:53.457 --> 00:20:59.363] patient_3
[00:20:55.364 --> 00:20:56.242] patient_4
