================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۰_۲۰۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 1205
================================================================================

[00:00:05.161 --> 00:00:14.813] doctor
[00:00:15.505 --> 00:00:17.952] doctor
[00:00:18.121 --> 00:00:19.555] doctor
[00:00:20.332 --> 00:00:39.029] doctor
[00:00:42.387 --> 00:00:43.383] doctor
[00:00:44.969 --> 00:00:55.955] doctor
[00:00:45.172 --> 00:00:52.023] patient_1
[00:00:53.558 --> 00:00:54.908] patient_1
[00:00:56.258 --> 00:01:01.034] doctor
[00:00:56.343 --> 00:00:56.967] patient_1
[00:01:01.237 --> 00:01:06.755] doctor
[00:01:06.974 --> 00:01:39.155] doctor
[00:01:39.982 --> 00:01:50.005] doctor
[00:01:50.039 --> 00:01:54.292] doctor
[00:01:54.562 --> 00:02:41.305] doctor
[00:01:59.101 --> 00:01:59.506] patient_1
[00:02:27.586 --> 00:02:29.071] patient_1
[00:02:41.626 --> 00:02:47.718] doctor
[00:02:48.697 --> 00:03:09.807] doctor
[00:03:10.094 --> 00:03:27.863] doctor
[00:03:28.117 --> 00:03:33.635] doctor
[00:03:34.529 --> 00:03:36.655] doctor
[00:03:37.077 --> 00:04:00.247] doctor
[00:03:45.886 --> 00:03:47.320] patient_1
[00:03:50.172 --> 00:03:50.628] patient_1
[00:03:51.978 --> 00:03:53.817] patient_1
[00:03:55.707 --> 00:03:57.040] patient_1
[00:04:00.415 --> 00:04:15.923] doctor
[00:04:00.601 --> 00:04:01.377] patient_1
[00:04:16.261 --> 00:04:59.967] doctor
[00:04:40.139 --> 00:04:40.544] patient_1
[00:04:48.340 --> 00:04:50.315] patient_1
[00:04:56.170 --> 00:04:57.115] patient_1
[00:05:00.082 --> 00:05:01.027] doctor
[00:05:01.600 --> 00:05:05.650] doctor
[00:05:05.971 --> 00:05:14.037] doctor
[00:05:14.965 --> 00:05:16.113] doctor
[00:05:17.632 --> 00:05:18.712] doctor
[00:05:19.235 --> 00:05:24.533] doctor
[00:05:25.225 --> 00:05:41.476] doctor
[00:05:41.763 --> 00:05:54.149] doctor
[00:05:41.864 --> 00:05:43.163] patient_1
