================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۱_۱۳۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 2183
================================================================================

[00:00:26.812 --> 00:00:28.718] doctor
[00:00:29.798 --> 00:00:30.575] doctor
[00:00:30.845 --> 00:00:31.587] doctor
[00:00:33.528 --> 00:00:54.790] doctor
[00:00:42.877 --> 00:00:43.653] patient_1
[00:00:45.509 --> 00:00:47.652] patient_1
[00:00:58.992 --> 00:01:01.169] doctor
[00:01:01.338 --> 00:01:02.570] doctor
[00:01:03.768 --> 00:01:07.531] doctor
[00:01:19.445 --> 00:01:20.373] doctor
[00:01:29.215 --> 00:01:43.272] doctor
[00:01:43.846 --> 00:01:53.212] doctor
[00:01:45.128 --> 00:01:46.968] patient_1
[00:01:48.993 --> 00:01:49.938] patient_1
[00:02:32.497 --> 00:02:34.589] doctor
[00:02:35.365 --> 00:02:37.610] doctor
[00:02:54.468 --> 00:02:57.353] doctor
[00:02:58.973 --> 00:03:00.847] doctor
[00:03:58.542 --> 00:03:59.808] doctor
[00:04:27.449 --> 00:04:35.026] doctor
[00:04:35.161 --> 00:04:35.887] doctor
[00:04:37.405 --> 00:04:38.350] doctor
[00:04:41.911 --> 00:04:44.375] doctor
[00:05:22.829 --> 00:05:23.470] doctor
[00:05:41.324 --> 00:05:43.282] doctor
[00:05:43.737 --> 00:05:46.252] patient_1
[00:05:48.935 --> 00:05:55.195] patient_1
[00:05:57.322 --> 00:06:00.173] patient_1
[00:06:02.873 --> 00:06:06.029] doctor
[00:06:06.991 --> 00:06:09.674] patient_1
[00:06:08.560 --> 00:06:11.362] doctor
[00:06:11.632 --> 00:06:13.842] patient_1
[00:06:15.209 --> 00:06:16.880] doctor
[00:06:17.605 --> 00:06:22.128] doctor
[00:06:22.617 --> 00:06:23.832] doctor
[00:06:24.355 --> 00:06:26.903] doctor
[00:06:28.102 --> 00:06:29.182] doctor
[00:06:29.992 --> 00:06:31.038] doctor
[00:06:31.291 --> 00:06:31.645] doctor
[00:06:31.679 --> 00:06:33.046] doctor
[00:06:33.080 --> 00:06:34.025] doctor
[00:06:34.177 --> 00:06:35.037] doctor
[00:06:39.982 --> 00:06:41.703] patient_1
[00:06:49.043 --> 00:06:53.752] doctor
[00:06:53.903 --> 00:06:54.713] doctor
[00:06:56.182 --> 00:06:57.025] patient_1
[00:06:58.291 --> 00:07:01.936] patient_1
[00:07:02.830 --> 00:07:08.922] doctor
[00:07:03.050 --> 00:07:03.657] patient_1
[00:07:04.450 --> 00:07:08.467] patient_1
[00:07:10.289 --> 00:07:20.009] doctor
[00:07:15.470 --> 00:07:15.925] patient_1
[00:07:17.073 --> 00:07:26.624] patient_1
[00:07:24.515 --> 00:07:25.392] doctor
[00:07:25.730 --> 00:07:29.122] doctor
[00:07:28.126 --> 00:07:32.868] patient_1
[00:07:33.863 --> 00:07:34.623] doctor
[00:07:35.011 --> 00:07:37.475] doctor
[00:07:37.475 --> 00:07:41.828] patient_1
[00:07:38.268 --> 00:07:52.477] doctor
[00:07:52.477 --> 00:07:56.425] patient_1
[00:07:56.864 --> 00:07:57.978] doctor
[00:08:00.172 --> 00:08:00.965] doctor
[00:08:01.319 --> 00:08:03.648] patient_1
