================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS
Source File : Session_Full_۲۰۲۶۰۸۱۱_۲۰۰۰۰۰.wav
Language    : fa
Total Segs  : 1457
================================================================================

[00:00:00.000 --> 00:00:24.000]  موسیقی
[00:00:30.000 --> 00:00:40.000]  موسیقی
[00:01:00.000 --> 00:01:20.000]  موسیقی
[00:01:20.000 --> 00:01:49.980]  موسیقی در موسیقی دیگر
[00:01:50.000 --> 00:02:19.980]  موسیقی در موسیقی درسته
[00:02:20.000 --> 00:02:49.000]  موسیقی
[00:02:49.000 --> 00:03:18.980]  موسیقی در موسیقی
[00:03:19.000 --> 00:03:48.980]  موسیقی در موسیقی درسته
[00:03:49.000 --> 00:04:18.980]  موسیقی در موسیقی دیگر
[00:04:19.000 --> 00:04:48.980]  موسیقی در موسیقی درسته
[00:04:49.000 --> 00:05:00.000]  موسیقی
[00:05:00.000 --> 00:05:29.980]  موسیقی در مطب پزشکی
[00:05:30.000 --> 00:05:59.980]  موسیقی در موسیقی درسته
[00:06:00.000 --> 00:06:29.980]  موسیقی در موسیقی درسته
[00:06:30.000 --> 00:06:32.000]  باید برداری کنید.
[00:06:32.000 --> 00:06:34.000]  باید برداری کنید.
[00:06:34.000 --> 00:06:36.000]  باید برداری کنید.
[00:06:36.000 --> 00:06:38.000]  باید برداری کنید.
[00:06:38.000 --> 00:06:40.000]  باید برداری کنید.
[00:06:40.000 --> 00:06:42.000]  باید برداری کنید.
[00:06:42.000 --> 00:06:44.000]  باید برداری کنید.
[00:06:44.000 --> 00:06:46.000]  باید برداری کنید.
[00:06:46.000 --> 00:06:48.000]  باید برداری کنید.
[00:06:48.000 --> 00:06:50.000]  باید برداری کنید.
[00:06:50.000 --> 00:06:52.000]  باید برداری کنید.
[00:06:52.000 --> 00:06:54.000]  باید برداری کنید.
[00:06:54.000 --> 00:06:56.000]  باید برداری کنید.
[00:06:56.000 --> 00:06:58.000]  باید برداری کنید.
[00:07:00.000 --> 00:07:02.000]  درست دارید که درگاه کنید؟
[00:07:10.000 --> 00:07:13.000]  جان، سی و دو، شخص و چهار
[00:07:14.000 --> 00:07:16.000]  تیام بده؟
[00:07:16.000 --> 00:07:18.000]  نه، ندار
[00:07:19.000 --> 00:07:21.000]  نه، ندار
[00:07:23.000 --> 00:07:26.000]  سفت بوشی، آردرگ و در
[00:07:26.000 --> 00:07:30.000]  یکی اونها چند بار خواست نکرده و یکی چه کار نشون شده اونجا بوده؟
[00:07:30.000 --> 00:07:32.000]  این چند بار بوده.
[00:07:35.000 --> 00:07:40.000]  بکنم بعد از اونجا باید کنم وقت را برده بگم.
[00:07:41.000 --> 00:07:49.000]  اون سنده، بکنم یک سنده دونسته های ما را داشتم براشون کنیم.
[00:07:49.000 --> 00:08:18.980]  موسیقی در موسیقی
[00:08:19.000 --> 00:08:48.980]  موسیقی در موسیقی دیگر
[00:08:49.000 --> 00:09:18.980]  موسیقی در موسیقی دیگر
[00:09:19.000 --> 00:09:48.980]  موسیقی در موسیقی درسته
[00:09:49.000 --> 00:10:00.000]  موسیقی
[00:10:00.000 --> 00:10:29.980]  موسیقی در مطب پزشکی
[00:10:30.000 --> 00:10:59.980]  موسیقی در موسیقی درسته
[00:11:00.000 --> 00:11:29.980]  موسیقی در موسیقی دیگر
[00:11:30.000 --> 00:11:58.000]  موسیقی
[00:11:58.000 --> 00:12:08.000]  موسیقی
[00:12:28.000 --> 00:12:56.000]  موسیقی
[00:12:56.000 --> 00:13:16.000]  موسیقی
[00:13:26.000 --> 00:13:36.000]  موسیقی
[00:13:56.000 --> 00:14:14.000]  موسیقی
[00:14:26.000 --> 00:14:54.000]  موسیقی
[00:14:56.000 --> 00:15:00.000]  موسیقی
[00:15:00.000 --> 00:15:30.000]  از اینجا، با اینکه باید بردارید، باید بردارید، باید بردارید، باید بردارید، باید بردارید، باید بردارید، باید بردارید، باید بردارید، باید بردارید، باید بردارید، باید بردارید، باید بردارید، باید بردارید، باید بردارید، باید بردارید، باید بردارید، باید بردارید، باید بردارید، باید بردارید، ب
[00:15:30.000 --> 00:15:40.000]  موسیقی
[00:16:00.000 --> 00:16:14.000]  موسیقی
[00:16:30.000 --> 00:16:50.000]  موسیقی
[00:17:00.000 --> 00:17:04.000]  نه، داره تا بینید داره دیگه
[00:17:30.000 --> 00:17:58.000]  موسیقی
[00:18:00.000 --> 00:18:02.000]  موسیقی
[00:18:30.000 --> 00:18:59.980]  موسیقی در موسیقی دیگر
[00:19:00.000 --> 00:19:29.980]  موسیقی در موسیقی درسته
[00:19:30.000 --> 00:19:58.000]  موسیقی
[00:20:00.000 --> 00:20:29.980]  موسیقی در مطب پزشکی
[00:20:30.000 --> 00:20:59.980]  موسیقی در موسیقی
[00:21:00.000 --> 00:21:29.980]  موسیقی در موسیقی درسته
[00:21:30.000 --> 00:21:59.980]  موسیقی در موسیقی درسته
[00:22:00.000 --> 00:22:29.980]  موسیقی در موسیقی
[00:22:30.000 --> 00:22:59.980]  موسیقی در موسیقی
[00:23:00.000 --> 00:23:29.980]  موسیقی در موسیقی
[00:23:30.000 --> 00:23:59.980]  موسیقی در موسیقی دیگر
[00:24:00.000 --> 00:24:29.980]  موسیقی در موسیقی درسته
[00:24:30.000 --> 00:24:59.980]  موسیقی در موسیقی
[00:25:00.000 --> 00:25:29.980]  موسیقی در مطب پزشکی
[00:25:30.000 --> 00:25:59.980]  موسیقی در موسیقی درسته
[00:26:00.000 --> 00:26:29.980]  موسیقی در موسیقی دیگر
[00:26:30.000 --> 00:26:56.000]  موسیقی
[00:27:00.000 --> 00:27:12.000]  موسیقی
[00:27:30.000 --> 00:27:59.980]  موسیقی در موسیقی درسته
[00:28:00.000 --> 00:28:29.980]  موسیقی در موسیقی
[00:28:30.000 --> 00:28:59.980]  موسیقی در موسیقی
[00:29:00.000 --> 00:29:29.980]  موسیقی در موسیقی درسته
[00:29:30.000 --> 00:29:59.980]  موسیقی در موسیقی درسته
[00:30:00.000 --> 00:30:29.980]  موسیقی در مطب پزشکی
[00:30:30.000 --> 00:30:59.980]  موسیقی در موسیقی درسته
[00:31:00.000 --> 00:31:29.980]  موسیقی در موسیقی دیگر
[00:31:30.000 --> 00:31:59.980]  موسیقی در موسیقی درسته
[00:32:00.000 --> 00:32:29.980]  موسیقی در موسیقی دیگر
[00:32:30.000 --> 00:32:59.980]  موسیقی در موسیقی درسته
[00:33:00.000 --> 00:33:29.980]  موسیقی در موسیقی درسته
[00:33:30.000 --> 00:33:40.000]  موسیقی
[00:34:00.000 --> 00:34:10.000]  موسیقی
[00:34:30.000 --> 00:35:00.000]  در اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا با اینجا ب
[00:35:00.000 --> 00:35:29.980]  موسیقی در مطب پزشکی
[00:35:30.000 --> 00:35:40.000]  موسیقی
[00:36:00.000 --> 00:36:22.000]  موسیقی
[00:36:22.000 --> 00:36:50.000]  موسیقی
[00:36:52.000 --> 00:37:12.000]  موسیقی
[00:37:12.000 --> 00:37:32.000]  موسیقی
[00:37:32.000 --> 00:37:42.000]  موسیقی
[00:38:02.000 --> 00:38:22.000]  موسیقی
[00:38:22.000 --> 00:38:24.000]  اینجا باید بردارید.
[00:38:24.000 --> 00:38:26.000]  اینجا باید بردارید.
[00:38:26.000 --> 00:38:28.000]  اینجا باید بردارید.
[00:38:28.000 --> 00:38:30.000]  اینجا باید بردارید.
[00:38:30.000 --> 00:38:32.000]  اینجا باید بردارید.
[00:38:32.000 --> 00:38:34.000]  اینجا باید بردارید.
[00:38:34.000 --> 00:38:36.000]  اینجا باید بردارید.
[00:38:36.000 --> 00:38:38.000]  اینجا باید بردارید.
[00:38:38.000 --> 00:38:40.000]  اینجا باید بردارید.
[00:38:40.000 --> 00:38:42.000]  اینجا باید بردارید.
[00:38:42.000 --> 00:38:44.000]  اینجا باید بردارید.
[00:38:44.000 --> 00:38:46.000]  اینجا باید بردارید.
[00:38:46.000 --> 00:38:48.000]  اینجا باید بردارید.
[00:38:48.000 --> 00:39:08.000]  موسیقی
[00:39:18.000 --> 00:39:46.000]  موسیقی
[00:39:48.000 --> 00:40:00.000]  موسیقی
[00:40:00.000 --> 00:40:20.000]  موسیقی
[00:40:20.000 --> 00:40:40.000]  موسیقی
[00:40:40.000 --> 00:41:00.000]  موسیقی
[00:41:10.000 --> 00:41:39.980]  موسیقی در موسیقی دیگر
[00:41:40.000 --> 00:42:00.000]  موسیقی
[00:42:10.000 --> 00:42:39.980]  موسیقی در موسیقی
[00:42:40.000 --> 00:43:09.980]  موسیقی در موسیقی
[00:43:10.000 --> 00:43:38.000]  موسیقی
