================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS
Source File : Session_Full_۲۰۲۶۰۸۲۲_۱۸۰۰۵۶.wav
Language    : fa
Total Segs  : 6738
================================================================================

[00:00:00.000 --> 00:00:29.980]  موسیقی بیشتر
[00:00:30.000 --> 00:00:32.000]  برنامه در کجا؟
[00:00:32.000 --> 00:00:34.000]  همه سه همه هایی جاکیری عزیز، خوبی؟
[00:00:34.000 --> 00:00:34.500]  مردم در کجا؟
[00:00:34.500 --> 00:00:35.660]  از هم های جاکیره عزیز
[00:00:35.660 --> 00:00:36.160]  خوبی؟
[00:00:36.160 --> 00:00:36.660]  نه راضی هست
[00:00:36.660 --> 00:00:37.160]  مردم در کجا؟
[00:00:37.160 --> 00:00:37.660]  مردم در کجا؟
[00:00:37.660 --> 00:00:39.660]  اما پیرو به فرمایشتون که گفتی شب
[00:00:39.660 --> 00:00:40.160]  شب
[00:00:40.160 --> 00:00:41.700]  اینو فقط پیامک کن برای من
[00:00:41.700 --> 00:00:43.460]  چی از برنامهاتون و ساعتشون
[00:00:43.460 --> 00:00:44.660]  من در پیستن وایده خبر گروه گان
[00:00:44.660 --> 00:00:45.340]  نم داری شب
[00:00:45.340 --> 00:00:47.000]  باشه من الان توی مرسی رسم
[00:00:47.000 --> 00:00:47.660]  وازداشهر سیده
[00:00:47.660 --> 00:00:49.840]  باشه هر موقع فای من کردی من تیری جو بدم
[00:00:49.840 --> 00:00:50.340]  چشم
[00:00:50.340 --> 00:00:52.340]  مرمو خدم
[00:01:20.340 --> 00:01:48.340]  موسیقی
[00:01:50.340 --> 00:02:18.340]  موسیقی
[00:02:20.340 --> 00:02:50.340]  بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی ب
[00:02:50.340 --> 00:03:20.320]  بیماری کنید
[00:03:20.340 --> 00:03:40.340]  موسیقی
[00:03:40.340 --> 00:04:10.320]  موسیقی در موسیقی
