================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۶_۱۸۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 4864
================================================================================

[00:01:12.695 --> 00:01:16.492] patient_1
[00:01:26.515 --> 00:01:32.354] patient_1
[00:01:28.068 --> 00:01:28.473] doctor
[00:01:29.401 --> 00:01:29.975] doctor
[00:01:48.453 --> 00:01:49.280] patient_1
[00:01:50.680 --> 00:01:51.710] patient_1
[00:02:00.974 --> 00:02:04.906] patient_1
[00:02:06.948 --> 00:02:30.843] patient_1
[00:02:07.302 --> 00:02:07.657] doctor
[00:03:46.493 --> 00:03:50.037] doctor
[00:03:58.070 --> 00:04:09.494] doctor
[00:04:19.973 --> 00:04:21.340] doctor
[00:04:32.292 --> 00:04:37.760] doctor
[00:04:59.056 --> 00:04:59.630] doctor
[00:07:45.963 --> 00:07:46.807] patient_1
[00:07:46.975 --> 00:07:50.384] patient_1
[00:07:52.493 --> 00:07:57.218] patient_3
[00:07:59.176 --> 00:08:04.998] patient_2
[00:08:33.770 --> 00:08:36.537] doctor
[00:08:35.035 --> 00:08:36.976] patient_4
[00:08:40.520 --> 00:08:43.034] patient_4
[00:08:52.248 --> 00:08:56.281] doctor
[00:13:24.067 --> 00:13:25.028] doctor
[00:13:26.969 --> 00:13:28.032] doctor
[00:13:29.973 --> 00:13:30.749] doctor
[00:13:31.795 --> 00:13:32.453] patient_1
[00:14:09.494 --> 00:14:11.907] patient_1
[00:14:11.975 --> 00:14:12.970] patient_1
[00:14:12.970 --> 00:14:13.780] patient_2
[00:15:08.030 --> 00:15:08.401] doctor
[00:15:28.178 --> 00:15:35.030] doctor
[00:15:50.926 --> 00:15:59.718] doctor
[00:15:59.785 --> 00:16:04.190] doctor
[00:16:04.308 --> 00:16:22.921] doctor
[00:16:24.254 --> 00:16:31.122] doctor
[00:16:51.035 --> 00:16:53.245] doctor
[00:16:54.038 --> 00:16:55.557] doctor
[00:16:56.468 --> 00:17:14.693] doctor
[00:17:14.845 --> 00:17:15.908] doctor
[00:17:17.748 --> 00:17:22.220] doctor
[00:17:22.878 --> 00:17:24.667] doctor
[00:17:25.139 --> 00:17:26.810] doctor
[00:17:27.299 --> 00:17:29.257] doctor
[00:17:30.016 --> 00:17:30.877] doctor
[00:17:30.910 --> 00:17:32.918] doctor
[00:17:31.957 --> 00:17:32.362] patient_1
[00:17:33.053 --> 00:17:42.082] doctor
[00:17:36.496 --> 00:17:37.323] patient_1
[00:17:38.858 --> 00:17:39.247] patient_1
[00:18:14.836 --> 00:18:16.574] doctor
[00:19:14.152 --> 00:19:14.590] doctor
[00:22:27.772 --> 00:22:28.868] patient_1
