================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۰۷_۱۶۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 1529
================================================================================

[00:01:33.721 --> 00:01:35.375] doctor
[00:01:36.168 --> 00:01:37.906] doctor
[00:01:38.497 --> 00:01:45.550] doctor
[00:01:46.057 --> 00:01:58.848] doctor
[00:01:59.320 --> 00:02:18.642] doctor
[00:02:19.317 --> 00:02:27.822] doctor
[00:03:02.838 --> 00:03:05.116] doctor
[00:03:05.538 --> 00:03:08.137] doctor
[00:03:05.723 --> 00:03:06.112] patient_1
[00:03:08.288 --> 00:03:08.761] doctor
[00:03:09.908 --> 00:03:13.233] doctor
[00:03:16.591 --> 00:03:19.628] doctor
[00:03:24.353 --> 00:03:25.670] doctor
[00:03:27.323 --> 00:03:35.305] doctor
[00:03:35.423 --> 00:03:38.377] doctor
[00:03:38.832 --> 00:03:39.895] doctor
[00:03:41.600 --> 00:03:42.612] doctor
[00:03:43.625 --> 00:03:48.400] doctor
[00:03:44.350 --> 00:03:45.616] patient_1
[00:03:49.598 --> 00:03:51.623] doctor
[00:03:52.383 --> 00:03:53.750] doctor
[00:05:18.391 --> 00:05:19.927] doctor
[00:05:21.968 --> 00:05:22.880] doctor
[00:05:23.605 --> 00:05:27.790] doctor
[00:05:28.094 --> 00:05:29.967] doctor
[00:05:34.625 --> 00:05:35.502] doctor
[00:05:41.307 --> 00:05:53.255] doctor
[00:05:54.453 --> 00:05:55.499] doctor
[00:05:55.972 --> 00:05:56.798] doctor
[00:05:56.866 --> 00:05:58.402] doctor
[00:05:58.857 --> 00:06:00.427] doctor
[00:06:01.473 --> 00:06:29.249] doctor
[00:06:30.160 --> 00:06:41.028] doctor
[00:06:41.872 --> 00:06:51.895] doctor
[00:06:52.773 --> 00:06:53.887] doctor
[00:06:54.882 --> 00:07:01.531] doctor
[00:08:54.205 --> 00:08:55.758] doctor
[00:09:40.730 --> 00:09:43.058] doctor
[00:09:43.717 --> 00:09:44.746] doctor
[00:09:47.530 --> 00:09:48.678] doctor
[00:09:51.040 --> 00:09:52.171] doctor
[00:10:20.078 --> 00:10:24.567] patient_1
[00:10:35.958 --> 00:10:39.029] doctor
[00:10:50.048 --> 00:10:51.061] doctor
[00:11:13.353 --> 00:11:15.631] patient_1
[00:11:16.120 --> 00:11:19.394] patient_1
[00:11:41.416 --> 00:11:45.196] patient_1
[00:11:41.787 --> 00:11:44.065] doctor
[00:11:46.478 --> 00:11:48.773] patient_1
[00:11:48.824 --> 00:11:50.731] patient_1
[00:11:51.389 --> 00:11:53.853] doctor
[00:11:52.891 --> 00:11:54.106] patient_1
[00:11:54.578 --> 00:11:59.253] doctor
[00:11:59.506 --> 00:12:03.927] doctor
[00:12:04.332 --> 00:12:07.235] doctor
[00:12:04.737 --> 00:12:06.037] patient_1
[00:12:07.792 --> 00:12:11.217] doctor
