================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۰۹_۱۶۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 3521
================================================================================

[00:01:14.973 --> 00:01:17.032] patient_1
[00:03:36.976 --> 00:03:37.769] doctor
[00:03:37.094 --> 00:03:37.448] patient_2
[00:03:38.005 --> 00:03:39.676] doctor
[00:03:40.115 --> 00:03:40.790] doctor
[00:03:41.718 --> 00:03:43.439] patient_2
[00:03:49.970 --> 00:03:52.467] patient_2
[00:03:52.585 --> 00:03:57.023] patient_2
[00:03:57.040 --> 00:03:58.036] patient_2
[00:04:01.816 --> 00:04:04.870] doctor
[00:04:06.608 --> 00:04:07.958] patient_2
[00:04:14.354 --> 00:04:16.480] patient_2
[00:04:18.151 --> 00:04:20.817] patient_2
[00:04:22.623 --> 00:04:25.087] patient_2
[00:04:26.318 --> 00:04:28.073] patient_2
[00:04:28.765 --> 00:04:32.174] patient_2
[00:04:32.798 --> 00:04:33.895] patient_2
[00:04:35.060 --> 00:04:41.320] patient_2
[00:04:41.708 --> 00:04:46.838] patient_2
[00:04:47.176 --> 00:04:47.783] patient_2
[00:04:48.847 --> 00:04:50.078] patient_2
[00:04:49.522 --> 00:04:50.618] patient_1
[00:04:50.888 --> 00:04:52.508] patient_1
[00:04:52.610 --> 00:04:53.960] patient_1
[00:04:54.736 --> 00:04:55.360] patient_2
[00:04:55.360 --> 00:04:55.867] patient_1
[00:04:57.250 --> 00:04:57.892] patient_2
[00:05:03.119 --> 00:05:04.722] doctor
[00:05:04.992 --> 00:05:05.583] doctor
[00:05:08.333 --> 00:05:15.995] doctor
[00:05:17.480 --> 00:05:19.471] doctor
[00:05:25.057 --> 00:05:27.470] doctor
[00:05:27.858 --> 00:05:30.828] doctor
[00:05:31.148 --> 00:05:42.809] doctor
[00:05:43.602 --> 00:05:54.267] doctor
[00:05:54.858 --> 00:06:03.970] doctor
[00:06:03.970 --> 00:06:15.496] patient_1
[00:06:15.800 --> 00:06:17.757] patient_1
[00:06:19.360 --> 00:06:22.162] doctor
[00:06:22.415 --> 00:06:39.830] doctor
[00:06:41.939 --> 00:06:43.964] doctor
[00:06:43.964 --> 00:06:50.444] patient_1
[00:06:50.782 --> 00:06:52.098] patient_1
[00:06:53.077 --> 00:07:00.029] patient_1
[00:07:03.218 --> 00:07:20.785] doctor
[00:07:20.954 --> 00:07:31.973] doctor
[00:07:31.973 --> 00:07:32.868] patient_1
[00:07:33.121 --> 00:07:40.681] patient_1
[00:07:42.352 --> 00:07:45.625] patient_1
[00:07:46.351 --> 00:07:49.051] patient_1
[00:07:59.176 --> 00:08:03.040] doctor
[00:08:04.593 --> 00:08:18.515] doctor
