================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۱۰_۱۶۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 2668
================================================================================

[00:27:43.330 --> 00:27:49.287] doctor
[00:28:53.716 --> 00:28:54.745] patient_1
[00:28:56.163 --> 00:28:58.593] patient_2
[00:57:03.353 --> 00:57:10.036] patient_1
[00:57:11.470 --> 00:57:13.023] doctor
[00:57:18.760 --> 00:57:24.565] doctor
[00:57:28.430 --> 00:57:29.020] doctor
[00:57:34.268 --> 00:57:35.399] doctor
[00:57:47.110 --> 00:57:48.629] doctor
[00:57:51.160 --> 00:57:53.168] patient_2
[00:57:54.518 --> 00:57:55.868] patient_2
[00:57:56.088 --> 00:57:56.662] patient_2
[00:57:58.265 --> 00:57:59.007] patient_2
[00:59:20.429 --> 00:59:21.340] doctor
[00:59:47.969 --> 00:59:49.606] doctor
[00:59:50.163 --> 00:59:51.226] doctor
[00:59:51.698 --> 00:59:53.099] doctor
[00:59:54.398 --> 00:59:55.242] doctor
[00:59:58.735 --> 00:59:59.967] doctor
[01:00:00.824 --> 01:00:08.367] patient_4
[01:00:19.943 --> 01:00:22.340] patient_4
[01:00:22.728 --> 01:00:24.533] patient_4
[01:00:24.770 --> 01:00:25.529] patient_4
[01:00:26.963 --> 01:00:27.571] patient_4
[01:00:28.043 --> 01:00:29.275] patient_4
[01:01:23.663 --> 01:01:25.773] doctor
[01:01:25.773 --> 01:01:28.439] patient_1
[01:01:29.941 --> 01:01:31.898] patient_3
[01:01:32.270 --> 01:01:36.033] patient_3
[01:01:50.292 --> 01:01:57.278] patient_2
[01:02:53.641 --> 01:02:54.029] patient_3
[01:02:54.029 --> 01:02:54.856] patient_4
[01:07:16.178 --> 01:07:18.035] patient_1
[01:07:18.794 --> 01:07:21.038] patient_1
[01:12:09.614 --> 01:12:09.968] doctor
[01:12:11.572 --> 01:12:12.027] patient_1
[01:12:16.094 --> 01:12:16.803] doctor
[01:12:22.692 --> 01:12:24.110] doctor
[01:12:27.147 --> 01:12:31.872] patient_1
[01:12:32.598 --> 01:12:37.795] patient_1
[01:19:28.242 --> 01:19:28.681] patient_3
[01:19:30.976 --> 01:19:31.432] patient_3
[01:19:32.731 --> 01:19:33.187] patient_3
[01:19:33.963 --> 01:19:35.313] patient_3
[01:19:36.359 --> 01:19:39.599] patient_4
[01:19:39.734 --> 01:19:41.101] patient_4
[01:19:42.907 --> 01:19:43.463] patient_1
[01:19:44.088 --> 01:19:45.472] patient_1
[01:19:46.214 --> 01:19:50.922] patient_1
[01:19:51.918 --> 01:19:56.187] patient_2
[01:19:55.630 --> 01:19:56.390] patient_3
[01:19:56.356 --> 01:19:56.896] patient_2
[01:19:56.947 --> 01:19:59.967] patient_2
[01:20:02.174 --> 01:20:02.933] patient_1
[01:20:15.623 --> 01:20:17.311] doctor
[01:20:18.509 --> 01:20:19.538] patient_1
[01:20:44.463 --> 01:20:56.326] doctor
[01:20:56.528 --> 01:21:03.565] doctor
[01:21:04.291 --> 01:21:05.776] doctor
[01:21:10.197 --> 01:21:11.243] doctor
[01:21:11.868 --> 01:21:12.391] doctor
[01:21:15.361 --> 01:21:16.289] patient_1
[01:21:17.065 --> 01:21:17.521] patient_1
[01:21:18.972 --> 01:21:20.980] patient_1
[01:21:21.284 --> 01:21:21.976] doctor
[01:21:22.027 --> 01:21:23.528] doctor
[01:21:23.967 --> 01:21:26.752] doctor
[01:21:26.903 --> 01:21:28.979] doctor
[01:21:29.688 --> 01:21:32.827] doctor
[01:21:34.683 --> 01:21:35.425] patient_1
[01:21:39.543 --> 01:21:40.167] patient_1
[01:21:40.589 --> 01:21:41.956] patient_1
[01:21:43.373 --> 01:21:46.158] patient_1
[01:21:46.867 --> 01:21:47.339] patient_1
[01:22:07.707 --> 01:22:16.904] patient_1
[01:22:09.226 --> 01:22:10.492] doctor
[01:22:17.765 --> 01:22:20.127] patient_1
[01:22:18.052 --> 01:22:18.777] doctor
[01:22:20.870 --> 01:22:22.017] patient_1
[01:22:22.540 --> 01:22:23.080] patient_1
[01:22:23.671 --> 01:22:27.367] patient_1
[01:22:27.721 --> 01:22:32.564] patient_1
[01:22:32.969 --> 01:22:34.505] patient_1
[01:22:35.872 --> 01:22:41.845] patient_1
[01:22:38.285 --> 01:22:39.247] doctor
[01:22:42.082 --> 01:22:43.347] patient_1
[01:22:51.515 --> 01:22:52.375] patient_1
[01:22:59.918 --> 01:23:02.095] patient_1
[01:23:02.686 --> 01:23:04.424] patient_1
[01:23:04.981 --> 01:23:30.850] patient_1
[01:23:12.355 --> 01:23:12.862] doctor
